component 0,component 1,component 2,请选择使用模式,flag,username,timestamp
工程造价有老师从事吗,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\teachers\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpiwlc7fos.json,知识库问答,,e35c83beed9e44bfac68a5565a5ed0db,2023-08-03 22:54:06.349152
有公司招实习生吗？,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\teachers\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpulzetscm.json,知识库问答,,e35c83beed9e44bfac68a5565a5ed0db,2023-08-03 22:57:36.668659
有公司找实习生吗,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\teachers\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmp9mhxse44.json,知识库问答,,e35c83beed9e44bfac68a5565a5ed0db,2023-08-03 22:58:06.954268
有研究房地产经济的老师吗,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\teachers\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpstxby3u1.json,知识库问答,,e35c83beed9e44bfac68a5565a5ed0db,2023-08-03 23:00:34.358074
有研究房地产经济的人吗？,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\teachers\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpen8hp42_.json,知识库问答,,e35c83beed9e44bfac68a5565a5ed0db,2023-08-03 23:02:36.835062
有研究房地产的人吗？,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\teachers\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpbxjfga2_.json,知识库问答,,e35c83beed9e44bfac68a5565a5ed0db,2023-08-03 23:03:27.684725
是谁,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\teachers\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpkyf80_sr.json,知识库问答,,e35c83beed9e44bfac68a5565a5ed0db,2023-08-03 23:03:47.206665
研究房地产经济的人,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\teachers\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmp7dy9mduu.json,知识库问答,,e35c83beed9e44bfac68a5565a5ed0db,2023-08-03 23:06:28.467679
研究房地产经济的人,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\teachers\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpx5k1w876.json,知识库问答,,e35c83beed9e44bfac68a5565a5ed0db,2023-08-03 23:09:45.815684
找实习生的公司,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\teachers\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmphv5e3yre.json,知识库问答,,e35c83beed9e44bfac68a5565a5ed0db,2023-08-03 23:13:38.427238
找实习生的公司,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\love\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpud4rby6n.json,知识库问答,,46f65e6a19d847149d9ba05884eb90ad,2023-08-03 23:18:08.564171
实习生,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\love\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmp4jrohnr7.json,知识库问答,,46f65e6a19d847149d9ba05884eb90ad,2023-08-03 23:18:54.017429
从事房地产经济研究的人,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\love\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmp584wxz71.json,知识库问答,,46f65e6a19d847149d9ba05884eb90ad,2023-08-03 23:19:40.500901
找实习生的公司,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\love\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpg7ug40_p.json,知识库问答,,46f65e6a19d847149d9ba05884eb90ad,2023-08-03 23:20:17.926412
找实习生的公司是？,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\love\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpuvbomo8p.json,知识库问答,,34a090f563764813b2c1b03eb7dd3583,2023-08-03 23:41:47.854088
有同学在中建科技有限公司华东分公司吗？,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\love\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmp2vfpapq9.json,知识库问答,,34a090f563764813b2c1b03eb7dd3583,2023-08-03 23:42:33.330481
